BF_Name,BF_Acreage,x2,y2
A Great Escape,4.79,1625891.75060239,846088.239117399
Asheville Mica,3,947838.9429968,680810.006682396
Town & County Rent-A-Car,1.6,1474331.01894756,527203.116718307
Fieldcrest Blanket Mill,18.439,1777512.88305505,1004900.65475965
West End Village,7.834,1629517.73580447,856365.562722817
Piedmont Triad Research Park,1.24,1634012.49092256,857125.399129644
Celanese DRP,120.41,1442479.93566822,512817.514255971
MTE Hydraulics,9.76,1341805.75381489,529417.644769564
Cannon Village,154.14,1517117.7335708,642232.34696123
Pelton Crane,6.02,1439915.83351298,531624.503216729
Costco,14.8,2111970.36341697,752954.361409143
Buss Coating,4.52,1243111.66970739,797715.616374642
R.W. McCollum,6.48,1765442.93573831,833698.457466558
Wilmington Convention Center,9.22,2316831.09936397,180880.805427313
Willard Lead,4.5,1441263.23337722,532581.657142311
Chowan Veneer Co,12.4,2710299.81865856,852132.148289397
Bendix Heavy Vehicle Facility,20.96,1564480.38425213,695078.512594149
Midtown Mall,10.3,1451821.83824421,537302.198226139
Camden Square 2nd Amendment,2.95,1443766.43571989,537299.549937472
Glencoe Mill,7.04,1873458.09503564,869677.733604982
Bromma Property II,11.6,2005618.1640483,951191.235603899
Sonoco Flexible,4.8,1443311.95040838,535702.577737734
Lowes of North Hickory,13.818,1307455.46162322,736949.004640401
Rea Asphalt Plant,8.55,1441908.50144364,533804.600562558
Ferguson Enterprises,2.88,1444036.16483922,536607.103815809
Dixie Trucking,16.25,1458655.20941997,556300.812131733
301 Fayetteville Street,0.83,2107147.60895489,737768.824194983
Cal-Tone Paints,2.75,2133371.67953813,744949.174335554
Guilford Mills - Hornaday,30.23,1729048.14894797,842693.274450645
North College St. Property,0.85,1452786.52594739,544473.752452567
Merchandise Mart,33.94,1462707.32598764,534716.073805228
Almont Shipping - New,23.37,2316959.64011739,182223.057007894
Shuler Property,4.49,807089.906253964,648969.146807805
Southside Properties (Carolina Metals),4.2,1443696.74196164,535375.973732144
Hughes Supply Property,1.7,1443223.96830089,537461.549285397
Conitron Facility,54.8,1726765.51079673,773446.826985806
Golden Belt,5.478,2032401.28272605,815344.024031147
MidCal Aluminum,5.12,1436271.62984338,560239.87807247
N.C. Equipment Co.,2.04,2095414.74068838,742360.889157817
Cole Orchard,55.36,987263.291641384,572947.133825898
Old Pineville Road,3.5,1438377.31263989,523051.149300471
ATS Manufacturing,6.65,1346923.54410422,567150.058149725
Walmart - Garner,21.71,2101182.94470313,716819.883809477
Purser Drive,1.98,2101492.50281106,716390.21668981
Tobacco Warehouse,4.12,2357149.91472356,800730.76782465
Blue Ridge Broadcasting,45.5,1004339.2729093,692237.665585563
Arrow Laundry II,0.46,1456890.28283171,537494.056766316
Warren Marketing Group,0.35,968545.847777143,584404.179809391
Syncot Fibers,3.136,1437993.32128188,541439.646316066
CRS Facility,11.53,1332013.05456831,566220.849706307
Carolina Cove Apts (RN),10.02,2479392.12627539,673894.989344478
Wal-Mart #1666-04 (RN),18.79,1469439.8505803,532273.308349565
